SIRSé; ; ; ; ; ; ; ; ; 
Référentiel géographique : France par commune et arrondissement; ; ; ; ; ; ; ; ; 
Code;Libellé;Population des moins de 18 ans 2016;Nombre de chômeurs chez les 15-64 ans (RP) 2016;Nombre de chômeurs chez les 15-24 ans (RP) 2016;Nombre de résidences principales en HLM 2016;Revenu fiscal médian 2016;Population des 65 ans ou plus 2016;Taux de natalité 2016;Population municipale 2016
01001;L'Abergement-Clémenciat;194;33;8;8;23440;143;9.1;767
01002;L'Abergement-de-Varey;62;10;4;0;24214;44;24.7;243
01004;Ambérieu-en-Bugey;3369;1080;258;1305;19450;2322;15.6;14081
01005;Ambérieux-en-Dombes;403;68;25;31;23280;257;8.4;1671
01006;Ambléon;15;8;3;0;N/A;26;18.2;110
01007;Ambronay;698;113;28;71;21984;396;10.1;2684
01008;Ambutrix;165;27;3;16;25758;101;16;750
01009;Andert-et-Condon;67;16;5;0;23416;92;3;336
01010;Anglefort;309;52;8;40;22818;178;5.3;1124
01011;Apremont;105;17;0;11;23148;66;13.1;383
01012;Aranc;76;17;5;8;20910;85;6.1;326
01013;Arandas;34;7;1;2;17416;30;13.5;148
01014;Arbent;788;211;48;356;20084;679;6.5;3379
01015;Arboys en Bugey;124;38;9;2;22084;161;4.7;640
01016;Arbigny;129;16;7;4;19792;86;15.2;462
01017;Argis;105;27;4;5;18450;95;11.4;438
01019;Armix;5;1;0;0;N/A;7;38.5;26
01021;Ars-sur-Formans;336;43;17;28;23176;221;5.8;1389
01022;Artemare;254;75;17;65;19232;286;4.9;1227
01023;Asnières-sur-Saône;12;1;0;0;N/A;10;31.7;63
01024;Attignat;861;113;34;79;21997;528;11.3;3270
01025;Bâgé-Dommartin;1122;152;44;53;N/A;554;11.5;4088
01026;Bâgé-le-Châtel;166;53;18;29;21116;242;14.2;915
01027;Balan;528;77;16;52;23462;227;8.4;2856
01028;Baneins;143;26;7;0;22296;81;10.1;596
01029;Beaupont;151;30;7;19;18738;119;4.4;685
01030;Beauregard;238;55;11;88;19936;104;12.4;885
01031;Bellignat;859;247;43;669;18222;611;12.4;3618
01032;Béligneux;998;135;24;242;20308;449;14.5;3314
01033;Valserhône;3858;1298;266;1850;N/A;2673;14.9;16302
01034;Belley;2045;660;151;940;18330;2052;9.3;9133
01035;Belleydoux;61;20;3;0;22410;49;6.3;317
01036;Valromey-sur-Séran;282;46;7;25;N/A;320;7.7;1299
01037;Bénonces;64;11;4;0;19680;65;6.8;294
01038;Bény;186;22;8;16;22088;139;7.9;762
01039;Béon;102;27;5;10;20136;86;21.6;464
01040;Béréziat;135;17;5;0;20678;63;6.1;494
01041;Bettant;163;35;9;17;22538;129;10.7;750
01042;Bey;70;8;1;7;23832;45;0;276
01043;Beynost;1109;193;49;90;27108;805;9;4557
01044;Billiat;160;43;12;36;25886;94;6.5;611
01045;Birieux;85;9;1;0;25164;39;21.1;285
01046;Biziat;231;29;8;11;21242;117;2.3;857
01047;Blyes;285;45;11;8;26190;109;8.1;993
