SIRSé; ; ; 
Référentiel géographique : France par commune; ; ; 
Code;Libellé;Nombre de sites et sols pollués (ou potentiellement pollués) 2019;Densité de population 2016
01001;L'Abergement-Clémenciat;0;49
01002;L'Abergement-de-Varey;0;26.6
01004;Ambérieu-en-Bugey;1;575
01005;Ambérieux-en-Dombes;0;104.1
01006;Ambléon;0;18.2
01007;Ambronay;0;79.9
01008;Ambutrix;0;144.8
01009;Andert-et-Condon;0;48.2
01010;Anglefort;1;38.1
01011;Apremont;0;25.4
01012;Aranc;0;15
01013;Arandas;0;10.5
01014;Arbent;3;142.3
01015;Arboys en Bugey;0;49.2
01016;Arbigny;0;26.3
01017;Argis;0;55.6
01019;Armix;0;3.7
01021;Ars-sur-Formans;0;248.9
01022;Artemare;1;367.4
01023;Asnières-sur-Saône;0;13.4
01024;Attignat;0;172.7
01025;Bâgé-Dommartin;0;71.7
01026;Bâgé-le-Châtel;0;1064
01027;Balan;1;159.9
01028;Baneins;0;65.9
01029;Beaupont;0;48.8
01030;Beauregard;0;931.6
01031;Bellignat;1;463.8
01032;Béligneux;0;249
01033;Valserhône;6;259.7
01034;Belley;5;404.5
01035;Belleydoux;0;17.7
01036;Valromey-sur-Séran;0;23
01037;Bénonces;0;19.2
01038;Bény;0;41.7
01039;Béon;0;45.5
01040;Béréziat;0;43.8
01041;Bettant;0;217.4
01042;Bey;0;98.6
01043;Beynost;1;425.1
01044;Billiat;0;43.6
01045;Birieux;0;18.1
01046;Biziat;0;73.6
01047;Blyes;0;106.1
01049;La Boisse;1;322.1
01050;Boissey;0;36
01051;Bolozon;0;17.8
01052;Bouligneux;0;12.2
01053;Bourg-en-Bresse;16;1724.3
01054;Bourg-Saint-Christophe;0;148.7
01056;Boyeux-Saint-Jérôme;0;21.2
01057;Boz;0;66.7
01058;Brégnier-Cordon;0;75.3
01060;Brénod;0;21.8
01061;Brens;0;171.2
01062;Bressolles;0;116
01063;Brion;1;114.4
01064;Briord;1;80
01065;Buellas;0;172.4
01066;La Burbanche;0;6.4
01067;Ceignes;0;24.8
01068;Cerdon;0;64.8
01069;Certines;0;95.9
01071;Cessy;1;749.8
01072;Ceyzériat;0;340.7
01073;Ceyzérieu;0;51.3
01074;Chalamont;0;73
01075;Chaleins;0;75.9
01076;Chaley;0;29.3
01077;Challes-la-Montagne;0;24.8
01078;Challex;0;165.3
01079;Champagne-en-Valromey;0;45.3
01080;Champdor-Corcelles;0;37.9
01081;Champfromier;0;22.9
01082;Chanay;1;34.4
01083;Chaneins;0;70.8
01084;Chanoz-Châtenay;0;62.5
01085;La Chapelle-du-Châtelard;0;28.4
01087;Charix;0;15.3
01088;Charnoz-sur-Ain;0;139
01089;Château-Gaillard;0;129.3
01090;Châtenay;0;21.9
01092;Châtillon-la-Palud;0;111.8
01093;Châtillon-sur-Chalaronne;0;271.7
01094;Chavannes-sur-Reyssouze;0;45.4
01095;Nivigne et Suran;0;25.8
01096;Chaveyriat;0;59.9
01098;Chazey-Bons;0;69.4
01099;Chazey-sur-Ain;0;68.4
01100;Cheignieu-la-Balme;0;23
01101;Chevillard;0;23
01102;Chevroux;0;55.5
01103;Chevry;1;283.8
01104;Chézery-Forens;0;9.9
01105;Civrieux;0;79.5
01106;Cize;0;37.8
01107;Cleyzieu;0;17.6
01108;Coligny;0;70.3
01109;Collonges;0;137.1
01110;Colomieu;0;22.4
01111;Conand;0;7.8
01112;Condamine;0;91
01113;Condeissiat;0;38
01114;Confort;0;55.1
01115;Confrançon;0;73.3
01116;Contrevoz;0;35
01117;Conzieu;0;20.6
01118;Corbonod;1;39.2
01121;Corlier;0;20.3
01123;Cormoranche-sur-Saône;0;112.2
01124;Cormoz;0;33.7
01125;Corveissiat;0;27.3
01127;Courmangoux;0;33.6
01128;Courtes;0;34.7
01129;Crans;0;19.8
01130;Bresse Vallons;1;86.5
01133;Cressin-Rochefort;0;50.8
01134;Crottet;0;142.1
01135;Crozet;0;78.1
01136;Cruzilles-lès-Mépillat;0;71.8
01138;Culoz;0;159.7
01139;Curciat-Dongalon;0;18.5
01140;Curtafond;0;60.5
01141;Cuzieu;0;90.1
01142;Dagneux;0;689
01143;Divonne-les-Bains;0;280.4
01145;Dompierre-sur-Veyle;0;40
01146;Dompierre-sur-Chalaronne;0;91.1
01147;Domsure;0;31.8
01148;Dortan;0;98.3
01149;Douvres;0;201
01150;Drom;0;27.8
01151;Druillat;0;55.6
01152;Échallon;0;27.1
01153;Échenevex;0;131.9
01155;Évosges;0;12.1
01156;Faramans;0;71.5
01157;Fareins;0;265.4
01158;Farges;0;70.9
01159;Feillens;0;218.7
01160;Ferney-Voltaire;0;2011.9
01162;Flaxieu;0;23.5
01163;Foissiat;0;51.3
01165;Francheleins;0;115.6
01166;Frans;0;288.5
01167;Garnerans;0;75.9
01169;Genouilleux;0;146.7
01170;Béard-Géovreissiat;0;222
01171;Géovreisset;0;272.5
01173;Gex;0;397
01174;Giron;0;19.2
01175;Gorrevod;0;125.3
01177;Grand-Corent;0;24.8
01179;Grièges;0;127.9
01180;Grilly;0;107.7
01181;Groissiat;3;197.3
01183;Guéreins;0;324.7
01184;Hautecourt-Romanèche;0;36.7
01185;Plateau d'Hauteville;0;45.6
01187;Haut Valromey;1;24.3
01188;Illiat;0;30.1
01189;Injoux-Génissiat;1;38.8
01190;Innimond;0;7.4
01191;Izenave;0;12.4
01192;Izernore;0;106
01193;Izieu;0;31.3
01194;Jassans-Riottier;0;1270.6
01195;Jasseron;0;93.5
01196;Jayat;0;71.6
01197;Journans;0;146.7
01198;Joyeux;0;16.5
01199;Jujurieux;0;140.9
01200;Labalme;0;24
01202;Lagnieu;0;259.3
01203;Laiz;0;117.8
01204;Le Poizat-Lalleyriat;0;46.8
01206;Lantenay;0;42
01207;Lapeyrouse;0;16.1
01208;Lavours;0;20.6
01209;Léaz;0;63
01210;Lélex;0;12.7
01211;Lent;0;44.8
01212;Lescheroux;0;36.2
01213;Leyment;0;89.8
01214;Leyssard;0;16.4
01215;Surjoux-Lhopital;0;15.6
01216;Lhuis;0;36.1
01219;Lompnas;0;13.4
01224;Loyettes;0;147.5
