SIRSé; ; 
Référentiel géographique : France par commune et arrondissement; ; 
Code;Libellé;Nombre de résidences principales 2016
01001;L'Abergement-Clémenciat;306
01002;L'Abergement-de-Varey;101
01004;Ambérieu-en-Bugey;6349
01005;Ambérieux-en-Dombes;640
01006;Ambléon;53
01007;Ambronay;1074
01008;Ambutrix;320
01009;Andert-et-Condon;150
01010;Anglefort;468
01011;Apremont;153
01012;Aranc;147
01013;Arandas;65
01014;Arbent;1350
01015;Arboys en Bugey;289
01016;Arbigny;175
01017;Argis;197
01019;Armix;12
01021;Ars-sur-Formans;510
01022;Artemare;571
01023;Asnières-sur-Saône;28
01024;Attignat;1321
01025;Bâgé-Dommartin;1569
01026;Bâgé-le-Châtel;381
01027;Balan;670
01028;Baneins;227
01029;Beaupont;260
01030;Beauregard;363
01031;Bellignat;1671
01032;Béligneux;1197
01033;Valserhône;6974
01034;Belley;4167
01035;Belleydoux;147
01036;Valromey-sur-Séran;587
01037;Bénonces;122
01038;Bény;317
01039;Béon;207
01040;Béréziat;184
01041;Bettant;331
01042;Bey;112
01043;Beynost;1783
01044;Billiat;256
01045;Birieux;103
01046;Biziat;329
01047;Blyes;374
01049;La Boisse;1118
01050;Boissey;129
01051;Bolozon;45
01052;Bouligneux;131
01053;Bourg-en-Bresse;20231
01054;Bourg-Saint-Christophe;504
01056;Boyeux-Saint-Jérôme;152
01057;Boz;203
01058;Brégnier-Cordon;342
01060;Brénod;246
01061;Brens;440
01062;Bressolles;344
01063;Brion;217
01064;Briord;413
01065;Buellas;717
01066;La Burbanche;37
01067;Ceignes;110
01068;Cerdon;321
01069;Certines;654
01071;Cessy;2004
01072;Ceyzériat;1303
01073;Ceyzérieu;456
01074;Chalamont;984
01075;Chaleins;480
01076;Chaley;72
01077;Challes-la-Montagne;95
01078;Challex;563
01079;Champagne-en-Valromey;312
01080;Champdor-Corcelles;287
01081;Champfromier;324
01082;Chanay;231
01083;Chaneins;340
01084;Chanoz-Châtenay;318
01085;La Chapelle-du-Châtelard;148
01087;Charix;121
01088;Charnoz-sur-Ain;362
01089;Château-Gaillard;785
01090;Châtenay;141
01092;Châtillon-la-Palud;623
01093;Châtillon-sur-Chalaronne;2230
01094;Chavannes-sur-Reyssouze;317
01095;Nivigne et Suran;333
01096;Chaveyriat;396
01098;Chazey-Bons;443
01099;Chazey-sur-Ain;655
01100;Cheignieu-la-Balme;74
01101;Chevillard;68
01102;Chevroux;374
01103;Chevry;666
01104;Chézery-Forens;198
01105;Civrieux;634
01106;Cize;74
01107;Cleyzieu;63
01108;Coligny;532
01109;Collonges;866
01110;Colomieu;64
01111;Conand;53
01112;Condamine;162
01113;Condeissiat;345
01114;Confort;217
01115;Confrançon;549
01116;Contrevoz;222
01117;Conzieu;54
01118;Corbonod;469
01121;Corlier;47
01123;Cormoranche-sur-Saône;433
01124;Cormoz;296
01125;Corveissiat;259
01127;Courmangoux;226
01128;Courtes;128
01129;Crans;113
01130;Bresse Vallons;864
01133;Cressin-Rochefort;160
01134;Crottet;711
01135;Crozet;848
01136;Cruzilles-lès-Mépillat;330
01138;Culoz;1328
01139;Curciat-Dongalon;205
01140;Curtafond;298
01141;Cuzieu;177
01142;Dagneux;1801
01143;Divonne-les-Bains;4193
01145;Dompierre-sur-Veyle;482
01146;Dompierre-sur-Chalaronne;157
01147;Domsure;199
01148;Dortan;795
01149;Douvres;433
01150;Drom;88
01151;Druillat;483
01152;Échallon;317
01153;Échenevex;804
01155;Évosges;68
01156;Faramans;302
01157;Fareins;873
01158;Farges;398
01159;Feillens;1430
01160;Ferney-Voltaire;4633
01162;Flaxieu;24
01163;Foissiat;848
01165;Francheleins;561
01166;Frans;886
01167;Garnerans;266
01169;Genouilleux;232
01170;Béard-Géovreissiat;377
01171;Géovreisset;347
01173;Gex;5538
01174;Giron;73
01175;Gorrevod;338
01177;Grand-Corent;80
01179;Grièges;817
01180;Grilly;326
01181;Groissiat;434
01183;Guéreins;548
01184;Hautecourt-Romanèche;347
01185;Plateau d'Hauteville;2177
01187;Haut Valromey;317
01188;Illiat;232
01189;Injoux-Génissiat;466
01190;Innimond;44
01191;Izenave;74
01192;Izernore;925
01193;Izieu;106
01194;Jassans-Riottier;2623
01195;Jasseron;664
01196;Jayat;442
01197;Journans;159
01198;Joyeux;103
01199;Jujurieux;947
01200;Labalme;85
01202;Lagnieu;3142
01203;Laiz;487
01204;Le Poizat-Lalleyriat;287
01206;Lantenay;112
01207;Lapeyrouse;124
01208;Lavours;63
01209;Léaz;285
01210;Lélex;112
