CartoSanté; ; ; 
Référentiel géographique : France par commune et arrondissement mun. 2019; ; ; 
Code;Libellé;Nbre de généralistes lib. au 31/12 2019;Nbre de généralistes lib. au 31/12 2019
01001;L'Abergement-Clémenciat;0;0
01002;L'Abergement-de-Varey;0;0
01004;Ambérieu-en-Bugey;4;21
01005;Ambérieux-en-Dombes;1;2
01006;Ambléon;0;0
01007;Ambronay;0;3
01008;Ambutrix;0;0
01009;Andert-et-Condon;0;0
01010;Anglefort;0;0
01011;Apremont;0;0
01012;Aranc;0;0
01013;Arandas;0;0
01014;Arbent;1;2
01015;Arboys en Bugey;0;0
01016;Arbigny;0;0
01017;Argis;0;0
01019;Armix;0;0
01021;Ars-sur-Formans;2;4
01022;Artemare;3;6
01023;Asnières-sur-Saône;0;0
01024;Attignat;1;3
01025;Bâgé-Dommartin;0;0
01026;Bâgé-le-Châtel;1;4
01027;Balan;0;0
01028;Baneins;0;0
01029;Beaupont;0;0
01030;Beauregard;0;0
01031;Bellignat;1;2
01032;Béligneux;1;1
01033;Valserhône;4;11
01034;Belley;4;14
01035;Belleydoux;0;0
01036;Valromey-sur-Séran;0;0
01037;Bénonces;0;0
01038;Bény;0;0
01039;Béon;0;0
01040;Béréziat;0;0
01041;Bettant;0;0
01042;Bey;0;0
01043;Beynost;0;5
01044;Billiat;0;0
01045;Birieux;0;0
01046;Biziat;0;0
01047;Blyes;0;0
01049;La Boisse;1;4
01050;Boissey;0;0
01051;Bolozon;0;0
01052;Bouligneux;0;0
01053;Bourg-en-Bresse;18;57
01054;Bourg-Saint-Christophe;0;0
01056;Boyeux-Saint-Jérôme;0;0
01057;Boz;0;0
01058;Brégnier-Cordon;1;1
01060;Brénod;1;1
01061;Brens;0;0
01062;Bressolles;0;0
01063;Brion;0;0
01064;Briord;0;0
01065;Buellas;0;1
01066;La Burbanche;0;0
01067;Ceignes;0;0
01068;Cerdon;0;0
01069;Certines;0;0
01071;Cessy;0;2
01072;Ceyzériat;0;2
01073;Ceyzérieu;0;0
01074;Chalamont;2;4
01075;Chaleins;0;2
01076;Chaley;0;0
01077;Challes-la-Montagne;0;0
01078;Challex;0;0
01079;Champagne-en-Valromey;0;1
01080;Champdor-Corcelles;0;0
01081;Champfromier;0;1
01082;Chanay;0;0
01083;Chaneins;0;0
01084;Chanoz-Châtenay;0;0
01085;La Chapelle-du-Châtelard;0;0
01087;Charix;0;0
01088;Charnoz-sur-Ain;0;1
01089;Château-Gaillard;0;0
01090;Châtenay;0;0
01092;Châtillon-la-Palud;0;0
01093;Châtillon-sur-Chalaronne;1;7
01094;Chavannes-sur-Reyssouze;0;0
01095;Nivigne et Suran;0;0
01096;Chaveyriat;0;0
01098;Chazey-Bons;0;0
01099;Chazey-sur-Ain;1;1
01100;Cheignieu-la-Balme;0;0
01101;Chevillard;0;0
01102;Chevroux;0;0
01103;Chevry;0;0
01104;Chézery-Forens;0;0
01105;Civrieux;0;0
01106;Cize;0;0
01107;Cleyzieu;0;0
01108;Coligny;1;2
01109;Collonges;1;4
01110;Colomieu;0;0
01111;Conand;0;0
01112;Condamine;0;0
01113;Condeissiat;0;0
01114;Confort;0;0
01115;Confrançon;0;0
01116;Contrevoz;0;0
01117;Conzieu;0;0
01118;Corbonod;0;0
01121;Corlier;0;0
01123;Cormoranche-sur-Saône;0;2
01124;Cormoz;0;0
01125;Corveissiat;0;0
01127;Courmangoux;0;0
01128;Courtes;0;0
01129;Crans;0;0
01130;Bresse Vallons;0;0
01133;Cressin-Rochefort;0;0
01134;Crottet;0;0
01135;Crozet;0;0
01136;Cruzilles-lès-Mépillat;0;0
01138;Culoz;0;3
01139;Curciat-Dongalon;0;0
01140;Curtafond;0;0
01141;Cuzieu;0;0
01142;Dagneux;1;5
01143;Divonne-les-Bains;1;9
01145;Dompierre-sur-Veyle;0;0
01146;Dompierre-sur-Chalaronne;0;0
01147;Domsure;0;0
01148;Dortan;0;0
01149;Douvres;0;0
01150;Drom;0;0
01151;Druillat;0;0
01152;Échallon;0;0
01153;Échenevex;0;0
01155;Évosges;0;0
01156;Faramans;0;0
01157;Fareins;1;1
01158;Farges;0;0
01159;Feillens;0;1
01160;Ferney-Voltaire;3;10
01162;Flaxieu;0;0
01163;Foissiat;1;1
01165;Francheleins;0;0
01166;Frans;0;0
01167;Garnerans;0;0
01169;Genouilleux;0;0
01170;Béard-Géovreissiat;0;0
01171;Géovreisset;0;0
01173;Gex;1;8
01174;Giron;0;0
01175;Gorrevod;0;0
01177;Grand-Corent;0;0
01179;Grièges;0;1
01180;Grilly;0;0
01181;Groissiat;0;0
01183;Guéreins;0;1
01184;Hautecourt-Romanèche;0;0
01185;Plateau d'Hauteville;1;3
01187;Haut Valromey;0;0
01188;Illiat;0;0
01189;Injoux-Génissiat;0;0
01190;Innimond;0;0
01191;Izenave;0;0
01192;Izernore;1;1
01193;Izieu;0;0
01194;Jassans-Riottier;0;6
01195;Jasseron;0;1
01196;Jayat;0;0
01197;Journans;0;0
01198;Joyeux;0;0
01199;Jujurieux;1;2
01200;Labalme;0;0
01202;Lagnieu;1;8
01203;Laiz;0;0
01204;Le Poizat-Lalleyriat;0;0
01206;Lantenay;0;0
01207;Lapeyrouse;0;0
01208;Lavours;0;0
01209;Léaz;0;0
01210;Lélex;0;0
01211;Lent;0;3
01212;Lescheroux;0;0
01213;Leyment;0;0
01214;Leyssard;0;0
01215;Surjoux-Lhopital;0;0
01216;Lhuis;1;1
01219;Lompnas;0;0
01224;Loyettes;2;3
01225;Lurcy;0;0
01227;Magnieu;0;0
01228;Maillat;0;0
01229;Malafretaz;0;0
01230;Mantenay-Montlin;0;0
01231;Manziat;1;3
01232;Marboz;0;4
01233;Marchamp;0;0
01234;Marignieu;0;0
01235;Marlieux;0;0
01236;Marsonnas;0;0
01237;Martignat;1;1
01238;Massieux;0;4
01239;Massignieu-de-Rives;0;0
01240;Matafelon-Granges;0;0
01241;Meillonnas;0;0
01242;Mérignat;0;0
01243;Messimy-sur-Saône;0;0
01244;Meximieux;1;3
01245;Bohas-Meyriat-Rignat;0;0
01246;Mézériat;0;1
01247;Mijoux;0;0
01248;Mionnay;0;2
01249;Miribel;0;8
01250;Misérieux;0;0
01252;Mogneneins;0;0
01254;Montagnat;1;2
01255;Montagnieu;0;0
01257;Montanges;0;0
01258;Montceaux;0;0
01259;Montcet;0;0
01260;Le Montellier;0;0
01261;Monthieux;0;0
01262;Montluel;1;2
01263;Montmerle-sur-Saône;2;3
01264;Montracol;0;0
01265;Montréal-la-Cluse;1;2
01266;Montrevel-en-Bresse;3;6
01267;Nurieux-Volognat;0;0
01268;Murs-et-Gélignieux;0;0
01269;Nantua;3;3
01272;Neuville-les-Dames;0;2
01273;Neuville-sur-Ain;0;0
01274;Les Neyrolles;0;0
01275;Neyron;1;1
01276;Niévroz;0;0
01277;Nivollet-Montgriffon;0;0
01279;Oncieu;0;0
01280;Ordonnaz;0;0
01281;Ornex;1;2
01282;Outriaz;0;0
01283;Oyonnax;6;15
01284;Ozan;0;0
01285;Parcieux;0;0
01286;Parves et Nattages;0;0
01288;Péron;1;1
01289;Péronnas;0;3
01290;Pérouges;0;0
01291;Perrex;0;0
01293;Peyriat;0;0
01294;Peyrieu;0;0
01295;Peyzieux-sur-Saône;0;0
01296;Pirajoux;0;0
01297;Pizay;0;0
01298;Plagne;0;0
01299;Le Plantay;0;0
01301;Polliat;0;3
01302;Pollieu;0;0
01303;Poncin;2;4
01304;Pont-d'Ain;2;7
01305;Pont-de-Vaux;1;2
01306;Pont-de-Veyle;0;4
01307;Port;0;0
01308;Pougny;0;0
01309;Pouillat;0;0
01310;Prémeyzel;0;0
01311;Prémillieu;0;0
01313;Prévessin-Moëns;1;2
01314;Priay;1;3
01317;Ramasse;0;0
01318;Rancé;0;0
01319;Relevant;0;0
01320;Replonges;0;2
01321;Revonnas;0;0
01322;Reyrieux;1;5
01323;Reyssouze;0;0
01325;Rignieux-le-Franc;0;0
01328;Romans;0;0
01329;Rossillon;0;0
01330;Ruffieu;0;0
01331;Saint-Alban;0;0
01332;Saint-André-de-Bâgé;0;0
01333;Saint-André-de-Corcy;0;4
01334;Saint-André-d'Huiriat;0;0
01335;Saint-André-le-Bouchoux;0;0
01336;Saint-André-sur-Vieux-Jonc;0;0
01337;Saint-Bénigne;0;0
01338;Groslée-Saint-Benoit;0;0
01339;Saint-Bernard;0;0
01342;Sainte-Croix;0;0
01343;Saint-Cyr-sur-Menthon;0;2
01344;Saint-Denis-lès-Bourg;2;5
01345;Saint-Denis-en-Bugey;0;1
01346;Saint-Didier-d'Aussiat;0;0
01347;Saint-Didier-de-Formans;0;0
01348;Saint-Didier-sur-Chalaronne;1;2
01349;Saint-Éloi;0;0
01350;Saint-Étienne-du-Bois;1;3
01351;Saint-Étienne-sur-Chalaronne;0;0
01352;Saint-Étienne-sur-Reyssouze;0;0
01353;Sainte-Euphémie;0;0
01354;Saint-Genis-Pouilly;2;7
01355;Saint-Genis-sur-Menthon;0;0
01356;Saint-Georges-sur-Renon;0;0
01357;Saint-Germain-de-Joux;0;0
01358;Saint-Germain-les-Paroisses;0;0
01359;Saint-Germain-sur-Renon;0;0
01360;Saint-Jean-de-Gonville;1;2
01361;Saint-Jean-de-Niost;0;0
01362;Saint-Jean-de-Thurigneux;0;0
01363;Saint-Jean-le-Vieux;0;1
01364;Saint-Jean-sur-Reyssouze;0;0
01365;Saint-Jean-sur-Veyle;0;0
01366;Sainte-Julie;0;0
01367;Saint-Julien-sur-Reyssouze;0;0
01368;Saint-Julien-sur-Veyle;0;0
01369;Saint-Just;0;0
01370;Saint-Laurent-sur-Saône;1;1
01371;Saint-Marcel;0;0
01372;Saint-Martin-de-Bavel;0;0
01373;Saint-Martin-du-Frêne;3;5
01374;Saint-Martin-du-Mont;0;0
01375;Saint-Martin-le-Châtel;0;0
01376;Saint-Maurice-de-Beynost;1;4
01378;Saint-Maurice-de-Gourdans;1;4
01379;Saint-Maurice-de-Rémens;0;0
01380;Saint-Nizier-le-Bouchoux;0;0
01381;Saint-Nizier-le-Désert;0;0
01382;Sainte-Olive;0;0
01383;Saint-Paul-de-Varax;1;1
01384;Saint-Rambert-en-Bugey;1;3
01385;Saint-Rémy;0;0
01386;Saint-Sorlin-en-Bugey;1;1
01387;Saint-Sulpice;0;0
01388;Saint-Trivier-de-Courtes;0;3
01389;Saint-Trivier-sur-Moignans;0;1
01390;Saint-Vulbas;0;1
01391;Salavre;0;0
01392;Samognat;0;0
01393;Sandrans;0;0
01396;Sault-Brénaz;0;0
01397;Sauverny;0;0
01398;Savigneux;0;0
01399;Ségny;0;0
01400;Seillonnaz;0;0
01401;Sergy;0;0
01402;Sermoyer;0;0
01403;Serrières-de-Briord;0;0
01404;Serrières-sur-Ain;0;0
01405;Servas;0;0
01406;Servignat;0;0
01407;Seyssel;0;1
01408;Simandre-sur-Suran;0;0
01410;Sonthonnax-la-Montagne;0;0
01411;Souclin;0;0
01412;Sulignat;0;0
01415;Talissieu;0;0
01416;Tenay;0;0
01418;Thil;0;1
01419;Thoiry;1;2
01420;Thoissey;2;3
01421;Torcieu;0;0
01422;Tossiat;0;3
01423;Toussieux;0;0
01424;Tramoyes;0;0
01425;La Tranclière;0;0
01426;Val-Revermont;1;2
01427;Trévoux;1;9
01428;Valeins;0;0
01429;Vandeins;0;0
01430;Varambon;0;0
01431;Vaux-en-Bugey;0;0
01432;Verjon;0;0
01433;Vernoux;0;0
01434;Versailleux;0;0
01435;Versonnex;2;5
01436;Vesancy;0;0
01437;Vescours;0;0
01439;Vésines;0;0
01441;Vieu-d'Izenave;0;0
01443;Villars-les-Dombes;1;9
01444;Villebois;0;0
01445;Villemotier;0;0
01446;Villeneuve;0;0
01447;Villereversure;0;4
01448;Villes;0;0
01449;Villette-sur-Ain;0;0
01450;Villieu-Loyes-Mollon;3;5
01451;Viriat;2;3
01452;Virieu-le-Grand;0;1
01453;Arvière-en-Valromey;1;1
01454;Virignin;0;0
01456;Vongnes;0;0
01457;Vonnas;0;2
02001;Abbécourt;0;0
02002;Achery;0;0
02003;Acy;0;0
02004;Agnicourt-et-Séchelles;0;0
02005;Aguilcourt;0;0
02006;Aisonville-et-Bernoville;0;0
02007;Aizelles;0;0
02008;Aizy-Jouy;0;0
02009;Alaincourt;0;0
02010;Allemant;0;0
02011;Ambleny;1;3
02012;Ambrief;0;0
02013;Amifontaine;0;0
02014;Amigny-Rouy;0;0
02015;Ancienville;0;0
02016;Andelain;0;0
02017;Anguilcourt-le-Sart;0;0
02018;Anizy-le-Grand;1;3
02019;Annois;0;0
02020;Any-Martin-Rieux;0;0
02021;Archon;0;0
02022;Arcy-Sainte-Restitue;0;0
02023;Armentières-sur-Ourcq;0;0
02024;Arrancy;0;0
02025;Artemps;0;0
02027;Assis-sur-Serre;0;0
02028;Athies-sous-Laon;2;3
02029;Attilly;0;0
02030;Aubencheul-aux-Bois;0;0
02031;Aubenton;0;1
02032;Aubigny-aux-Kaisnes;0;0
02033;Aubigny-en-Laonnois;0;0
02034;Audignicourt;0;0
02035;Audigny;0;0
02036;Augy;0;0
02037;Aulnois-sous-Laon;0;0
02038;Les Autels;0;0
02039;Autremencourt;0;0
02040;Autreppes;0;0
02041;Autreville;0;0
02042;Azy-sur-Marne;0;0
02043;Bagneux;0;0
02044;Bancigny;0;0
02046;Barenton-Bugny;0;0
02047;Barenton-Cel;0;0
02048;Barenton-sur-Serre;0;0
02049;Barisis-aux-Bois;0;0
02050;Barzy-en-Thiérache;0;0
02051;Barzy-sur-Marne;0;0
02052;Bassoles-Aulers;0;0
02053;Vallées en Champagne;0;0
02054;Bazoches-sur-Vesles;0;0
02055;Beaumé;0;0
02056;Beaumont-en-Beine;0;0
02057;Beaurevoir;1;1
02058;Beaurieux;1;1
02059;Beautor;1;1
02060;Beauvois-en-Vermandois;0;0
02061;Becquigny;0;0
02062;Belleau;0;0
02063;Bellenglise;0;0
02064;Belleu;2;2
02065;Bellicourt;0;0
02066;Benay;0;0
