,Nom_com,NG19_60>,NG19T,Pop16_<18,NC16_15_64,NC16_15_24,NRP16,RFM16,Pop16_>65,TN16,PM16,code_dep,code_commune_INSEE,nom_departement,nom_region,code_postal,code_region
0,L'Abergement-Clémenciat,0,0,194.0,33.0,8.0,8.0,23440.0,143.0,9.1,767.0,01,01001,Ain,Auvergne-Rhône-Alpes,01400,84.0
1,L'Abergement-de-Varey,0,0,62.0,10.0,4.0,0.0,24214.0,44.0,24.7,243.0,01,01002,Ain,Auvergne-Rhône-Alpes,01640,84.0
2,Ambérieu-en-Bugey,4,21,3369.0,1080.0,258.0,1305.0,19450.0,2322.0,15.6,14081.0,01,01004,Ain,Auvergne-Rhône-Alpes,01500,84.0
3,Ambérieux-en-Dombes,1,2,403.0,68.0,25.0,31.0,23280.0,257.0,8.4,1671.0,01,01005,Ain,Auvergne-Rhône-Alpes,01330,84.0
4,Ambléon,0,0,15.0,8.0,3.0,0.0,,26.0,18.2,110.0,01,01006,Ain,Auvergne-Rhône-Alpes,01300,84.0
5,Ambronay,0,3,698.0,113.0,28.0,71.0,21984.0,396.0,10.1,2684.0,01,01007,Ain,Auvergne-Rhône-Alpes,01500,84.0
6,Ambutrix,0,0,165.0,27.0,3.0,16.0,25758.0,101.0,16.0,750.0,01,01008,Ain,Auvergne-Rhône-Alpes,01500,84.0
7,Andert-et-Condon,0,0,67.0,16.0,5.0,0.0,23416.0,92.0,3.0,336.0,01,01009,Ain,Auvergne-Rhône-Alpes,01300,84.0
8,Anglefort,0,0,309.0,52.0,8.0,40.0,22818.0,178.0,5.3,1124.0,01,01010,Ain,Auvergne-Rhône-Alpes,01350,84.0
9,Apremont,0,0,105.0,17.0,0.0,11.0,23148.0,66.0,13.1,383.0,01,01011,Ain,Auvergne-Rhône-Alpes,01100,84.0
10,Aranc,0,0,76.0,17.0,5.0,8.0,20910.0,85.0,6.1,326.0,01,01012,Ain,Auvergne-Rhône-Alpes,01110,84.0
11,Arandas,0,0,34.0,7.0,1.0,2.0,17416.0,30.0,13.5,148.0,01,01013,Ain,Auvergne-Rhône-Alpes,01230,84.0
12,Arbent,1,2,788.0,211.0,48.0,356.0,20084.0,679.0,6.5,3379.0,01,01014,Ain,Auvergne-Rhône-Alpes,01100,84.0
15,Arbigny,0,0,129.0,16.0,7.0,4.0,19792.0,86.0,15.2,462.0,01,01016,Ain,Auvergne-Rhône-Alpes,01190,84.0
16,Argis,0,0,105.0,27.0,4.0,5.0,18450.0,95.0,11.4,438.0,01,01017,Ain,Auvergne-Rhône-Alpes,01230,84.0
17,Armix,0,0,5.0,1.0,0.0,0.0,,7.0,38.5,26.0,01,01019,Ain,Auvergne-Rhône-Alpes,01510,84.0
18,Ars-sur-Formans,2,4,336.0,43.0,17.0,28.0,23176.0,221.0,5.8,1389.0,01,01021,Ain,Auvergne-Rhône-Alpes,01480,84.0
19,Artemare,3,6,254.0,75.0,17.0,65.0,19232.0,286.0,4.9,1227.0,01,01022,Ain,Auvergne-Rhône-Alpes,01510,84.0
20,Asnières-sur-Saône,0,0,12.0,1.0,0.0,0.0,,10.0,31.7,63.0,01,01023,Ain,Auvergne-Rhône-Alpes,01570,84.0
21,Attignat,1,3,861.0,113.0,34.0,79.0,21997.0,528.0,11.3,3270.0,01,01024,Ain,Auvergne-Rhône-Alpes,01340,84.0
22,Bâgé-Dommartin,0,0,1122.0,152.0,44.0,53.0,,554.0,11.5,4088.0,01,01025,Ain,Auvergne-Rhône-Alpes,01380,84.0
23,Bâgé-le-Châtel,1,4,166.0,53.0,18.0,29.0,21116.0,242.0,14.2,915.0,01,01026,Ain,Auvergne-Rhône-Alpes,01380,84.0
24,Balan,0,0,528.0,77.0,16.0,52.0,23462.0,227.0,8.4,2856.0,01,01027,Ain,Auvergne-Rhône-Alpes,01360,84.0
25,Baneins,0,0,143.0,26.0,7.0,0.0,22296.0,81.0,10.1,596.0,01,01028,Ain,Auvergne-Rhône-Alpes,01990,84.0
26,Beaupont,0,0,151.0,30.0,7.0,19.0,18738.0,119.0,4.4,685.0,01,01029,Ain,Auvergne-Rhône-Alpes,01270,84.0
27,Beauregard,0,0,238.0,55.0,11.0,88.0,19936.0,104.0,12.4,885.0,01,01030,Ain,Auvergne-Rhône-Alpes,01480,84.0
28,Bellignat,1,2,859.0,247.0,43.0,669.0,18222.0,611.0,12.4,3618.0,01,01031,Ain,Auvergne-Rhône-Alpes,01100,84.0
33,Valserhône,4,11,3858.0,1298.0,266.0,1850.0,,2673.0,14.9,16302.0,01,01033,Ain,Auvergne-Rhône-Alpes,01200,84.0
34,Belley,4,14,2045.0,660.0,151.0,940.0,18330.0,2052.0,9.3,9133.0,01,01034,Ain,Auvergne-Rhône-Alpes,01300,84.0
35,Belleydoux,0,0,61.0,20.0,3.0,0.0,22410.0,49.0,6.3,317.0,01,01035,Ain,Auvergne-Rhône-Alpes,01130,84.0
38,Bénonces,0,0,64.0,11.0,4.0,0.0,19680.0,65.0,6.8,294.0,01,01037,Ain,Auvergne-Rhône-Alpes,01470,84.0
39,Bény,0,0,186.0,22.0,8.0,16.0,22088.0,139.0,7.9,762.0,01,01038,Ain,Auvergne-Rhône-Alpes,01370,84.0
40,Béon,0,0,102.0,27.0,5.0,10.0,20136.0,86.0,21.6,464.0,01,01039,Ain,Auvergne-Rhône-Alpes,01350,84.0
41,Béréziat,0,0,135.0,17.0,5.0,0.0,20678.0,63.0,6.1,494.0,01,01040,Ain,Auvergne-Rhône-Alpes,01340,84.0
42,Bettant,0,0,163.0,35.0,9.0,17.0,22538.0,129.0,10.7,750.0,01,01041,Ain,Auvergne-Rhône-Alpes,01500,84.0
43,Bey,0,0,70.0,8.0,1.0,7.0,23832.0,45.0,0.0,276.0,01,01042,Ain,Auvergne-Rhône-Alpes,01290,84.0
44,Beynost,0,5,1109.0,193.0,49.0,90.0,27108.0,805.0,9.0,4557.0,01,01043,Ain,Auvergne-Rhône-Alpes,01700,84.0
45,Billiat,0,0,160.0,43.0,12.0,36.0,25886.0,94.0,6.5,611.0,01,01044,Ain,Auvergne-Rhône-Alpes,01200,84.0
46,Birieux,0,0,85.0,9.0,1.0,0.0,25164.0,39.0,21.1,285.0,01,01045,Ain,Auvergne-Rhône-Alpes,01330,84.0
47,Biziat,0,0,231.0,29.0,8.0,11.0,21242.0,117.0,2.3,857.0,01,01046,Ain,Auvergne-Rhône-Alpes,01290,84.0
48,Blyes,0,0,285.0,45.0,11.0,8.0,26190.0,109.0,8.1,993.0,01,01047,Ain,Auvergne-Rhône-Alpes,01150,84.0
49,La Boisse,1,4,760.0,115.0,25.0,24.0,25118.0,488.0,12.2,3021.0,01,01049,Ain,Auvergne-Rhône-Alpes,01120,84.0
52,Bolozon,0,0,12.0,8.0,1.0,2.0,,27.0,22.5,89.0,01,01051,Ain,Auvergne-Rhône-Alpes,01450,84.0
53,Bouligneux,0,0,60.0,12.0,4.0,1.0,26762.0,76.0,6.3,319.0,01,01052,Ain,Auvergne-Rhône-Alpes,01330,84.0
58,Boyeux-Saint-Jérôme,0,0,88.0,15.0,1.0,0.0,20538.0,77.0,16.9,354.0,01,01056,Ain,Auvergne-Rhône-Alpes,01640,84.0
59,Boz,0,0,148.0,19.0,7.0,5.0,20506.0,75.0,9.7,515.0,01,01057,Ain,Auvergne-Rhône-Alpes,01190,84.0
60,Brégnier-Cordon,1,1,244.0,42.0,9.0,18.0,20828.0,151.0,14.1,849.0,01,01058,Ain,Auvergne-Rhône-Alpes,01300,84.0
61,Brénod,1,1,107.0,17.0,5.0,11.0,23052.0,132.0,5.7,522.0,01,01060,Ain,Auvergne-Rhône-Alpes,01110,84.0
62,Brens,0,0,308.0,64.0,13.0,0.0,23288.0,161.0,10.3,1169.0,01,01061,Ain,Auvergne-Rhône-Alpes,01300,84.0
65,Brion,0,0,117.0,22.0,4.0,7.0,24456.0,122.0,7.8,515.0,01,01063,Ain,Auvergne-Rhône-Alpes,01460,84.0
66,Briord,0,0,244.0,70.0,24.0,56.0,20826.0,109.0,12.1,991.0,01,01064,Ain,Auvergne-Rhône-Alpes,01470,84.0
69,La Burbanche,0,0,12.0,7.0,1.0,0.0,,17.0,0.0,71.0,01,01066,Ain,Auvergne-Rhône-Alpes,01510,84.0
70,Ceignes,0,0,66.0,12.0,3.0,0.0,22668.0,29.0,11.9,253.0,01,01067,Ain,Auvergne-Rhône-Alpes,01430,84.0
71,Cerdon,0,0,181.0,43.0,9.0,12.0,19140.0,167.0,6.4,785.0,01,01068,Ain,Auvergne-Rhône-Alpes,01450,84.0
