,Nom_com
0,L'Abergement-Clémenciat
1,L'Abergement-de-Varey
2,Ambérieu-en-Bugey
3,Ambérieux-en-Dombes
5,Ambronay
6,Ambutrix
7,Andert-et-Condon
8,Anglefort
9,Apremont
10,Aranc
11,Arandas
12,Arbent
13,Arbigny
14,Argis
16,Ars-sur-Formans
17,Artemare
19,Attignat
21,Bâgé-le-Châtel
22,Balan
23,Baneins
24,Beaupont
25,Beauregard
26,Bellignat
28,Belley
29,Belleydoux
30,Bénonces
31,Bény
32,Béon
33,Béréziat
34,Bettant
35,Bey
36,Beynost
37,Billiat
38,Birieux
39,Biziat
40,Blyes
41,La Boisse
43,Bouligneux
44,Boyeux-Saint-Jérôme
45,Boz
46,Brégnier-Cordon
47,Brénod
48,Brens
49,Brion
50,Briord
52,Ceignes
53,Cerdon
54,Certines
55,Cessy
56,Ceyzériat
57,Ceyzérieu
58,Chalamont
59,Chaleins
60,Chaley
61,Challes-la-Montagne
62,Challex
63,Champfromier
64,Chanay
65,Chaneins
66,Chanoz-Châtenay
67,La Chapelle-du-Châtelard
68,Charix
69,Charnoz-sur-Ain
70,Château-Gaillard
71,Châtenay
72,Châtillon-la-Palud
73,Châtillon-sur-Chalaronne
74,Chavannes-sur-Reyssouze
75,Nivigne et Suran
76,Chaveyriat
77,Chazey-Bons
78,Chazey-sur-Ain
79,Cheignieu-la-Balme
80,Chevillard
81,Chevroux
82,Chevry
83,Civrieux
84,Cize
85,Cleyzieu
86,Coligny
87,Collonges
88,Colomieu
89,Conand
90,Condamine
91,Condeissiat
92,Confort
93,Confrançon
94,Contrevoz
95,Conzieu
96,Corbonod
97,Corlier
98,Cormoranche-sur-Saône
99,Cormoz
100,Corveissiat
101,Courmangoux
102,Courtes
103,Crans
105,Cressin-Rochefort
106,Crozet
107,Cruzilles-lès-Mépillat
108,Culoz
109,Curciat-Dongalon
110,Curtafond
111,Cuzieu
112,Dagneux
113,Divonne-les-Bains
114,Dompierre-sur-Veyle
115,Dompierre-sur-Chalaronne
116,Domsure
117,Dortan
118,Douvres
119,Drom
120,Druillat
121,Échallon
122,Échenevex
123,Évosges
124,Faramans
125,Fareins
126,Farges
